"ontology1","ontology2","metric","value","matcher"
"source-segment-cmt-edas","target-segment-cmt-edas","recall","0.625","YAM"
"source-segment-cmt-iasted","target-segment-cmt-iasted","recall","0.75","YAM"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","recall","0.5714285714285714","YAM"
"source-segment-conference-confOf","target-segment-conference-confOf","recall","0.75","YAM"
"source-segment-edas-iasted","target-segment-edas-iasted","recall","0.4","YAM"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","recall","0.5","YAM"
"source-segment-conference-iasted","target-segment-conference-iasted","recall","0.4","YAM"
"source-segment-edas-ekaw","target-segment-edas-ekaw","recall","0.3","YAM"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","recall","0.5","YAM"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","recall","0.5","YAM"
"source-segment-cmt-conference","target-segment-cmt-conference","recall","0.2","YAM"
"source-segment-conference-ekaw","target-segment-conference-ekaw","recall","0.25","YAM"
"source-segment-confOf-edas","target-segment-confOf-edas","recall","0.3333333333333333","YAM"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","recall","0","YAM"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","recall","0.25","YAM"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","recall","0","YAM"
"source-segment-conference-edas","target-segment-conference-edas","recall","0.5","YAM"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","recall","0.5714285714285714","YAM"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","recall","0.42857142857142855","YAM"
"source-segment-cmt-confOf","target-segment-cmt-confOf","recall","0.18181818181818182","YAM"